,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
6625418,477624800,2022-03-13 23:37:46,39.19307,-76.48364,7.4,110.3,111.0,EVER FORWARD,IMO9850551,VRTM7,74,0.0,334.0,48.0,13.0,74.0,A
6626258,477624800,2022-03-13 23:18:56,39.21262,-76.5238,7.0,141.3,142.0,EVER FORWARD,IMO9850551,VRTM7,74,0.0,334.0,48.0,13.0,74.0,A
6626295,212254000,2022-03-13 23:38:12,18.31067,-64.94214,0.1,23.7,83.0,ISLAND EXPRESS,IMO8716954,C4TA2,70,1.0,125.0,15.0,4.9,70.0,A
6626654,229161000,2022-03-13 23:18:42,37.21107,-76.1169,0.0,163.6,207.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
6627792,212254000,2022-03-13 23:20:07,18.31094,-64.94221,0.3,160.8,99.0,ISLAND EXPRESS,IMO8716954,C4TA2,70,1.0,125.0,15.0,4.9,70.0,A
6629854,477624800,2022-03-13 23:20:07,39.21081,-76.52193,7.1,140.7,142.0,EVER FORWARD,IMO9850551,VRTM7,74,0.0,334.0,48.0,13.0,74.0,A
6630274,229161000,2022-03-13 23:42:41,37.21108,-76.11689,0.1,54.6,202.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
6633384,477624800,2022-03-13 23:45:07,39.18728,-76.46484,8.3,111.0,111.0,EVER FORWARD,IMO9850551,VRTM7,74,0.0,334.0,48.0,13.0,74.0,A
6634474,316026694,2022-03-13 23:43:59,48.40754,-89.21549,0.0,303.3,346.0,CSL ST-LAURENT,IMO9665281,CFK5152,70,5.0,225.0,23.0,9.0,70.0,A
6634805,229161000,2022-03-13 23:21:44,37.2111,-76.11695,0.1,304.7,205.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
6635738,477624800,2022-03-13 23:43:57,39.18832,-76.46807,8.2,110.7,111.0,EVER FORWARD,IMO9850551,VRTM7,74,0.0,334.0,48.0,13.0,74.0,A
6637468,311000813,2022-03-13 23:22:33,45.54904,-122.69387,0.0,64.5,329.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
6638159,229161000,2022-03-13 23:39:45,37.21109,-76.11688,0.1,331.7,207.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
6640936,477624800,2022-03-13 23:22:27,39.20717,-76.51811,7.2,136.4,136.0,EVER FORWARD,IMO9850551,VRTM7,74,0.0,334.0,48.0,13.0,74.0,A
6642902,477624800,2022-03-13 23:23:28,39.2059,-76.51627,7.0,129.3,130.0,EVER FORWARD,IMO9850551,VRTM7,74,0.0,334.0,48.0,13.0,74.0,A
6643671,403531001,2022-03-13 23:41:34,29.72554,-95.26839,0.0,269.3,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
6643852,229161000,2022-03-13 23:45:45,37.21104,-76.11677,0.1,79.1,207.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
6647019,229161000,2022-03-13 23:24:42,37.21109,-76.11696,0.1,141.2,201.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
6651469,311000813,2022-03-13 23:46:34,45.549,-122.69384,0.0,64.5,329.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
6652795,403531001,2022-03-13 23:47:34,29.72557,-95.26839,0.0,269.3,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
6653406,229161000,2022-03-13 23:48:43,37.21103,-76.11677,0.1,318.8,212.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
6653769,538004337,2022-03-13 23:47:42,36.80153,-76.2894,0.0,70.6,74.0,OWL,IMO9441386,V7WM4,70,5.0,189.0,32.0,12.9,70.0,A
6656637,477624800,2022-03-13 23:24:37,39.2045,-76.51395,7.0,127.3,128.0,EVER FORWARD,IMO9850551,VRTM7,74,0.0,334.0,48.0,13.0,74.0,A
6658814,403531001,2022-03-13 23:44:34,29.72556,-95.26839,0.0,269.3,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
6658990,311000813,2022-03-13 23:49:36,45.54897,-122.69381,0.0,64.5,329.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
6664644,538004337,2022-03-13 23:26:38,36.80152,-76.28942,0.0,70.6,74.0,OWL,IMO9441386,V7WM4,70,5.0,189.0,32.0,12.9,70.0,A
6665480,229161000,2022-03-13 23:27:44,37.21106,-76.11683,0.1,67.6,203.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
6666437,316026694,2022-03-13 23:49:59,48.40754,-89.2155,0.1,350.6,346.0,CSL ST-LAURENT,IMO9665281,CFK5152,70,5.0,225.0,23.0,9.0,70.0,A
6668159,229161000,2022-03-13 23:51:47,37.21108,-76.11691,0.1,314.5,207.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
6668412,477624800,2022-03-13 23:46:16,39.18646,-76.46159,8.5,111.4,111.0,EVER FORWARD,IMO9850551,VRTM7,74,0.0,334.0,48.0,13.0,74.0,A
6668850,316026694,2022-03-13 23:52:59,48.40754,-89.2155,0.0,133.4,346.0,CSL ST-LAURENT,IMO9665281,CFK5152,70,5.0,225.0,23.0,9.0,70.0,A
6668869,316026694,2022-03-13 23:46:59,48.40754,-89.2155,0.0,335.1,346.0,CSL ST-LAURENT,IMO9665281,CFK5152,70,5.0,225.0,23.0,9.0,70.0,A
6670855,477624800,2022-03-13 23:29:27,39.19916,-76.50368,7.1,114.2,114.0,EVER FORWARD,IMO9850551,VRTM7,74,0.0,334.0,48.0,13.0,74.0,A
6673112,477624800,2022-03-13 23:30:38,39.19827,-76.50098,7.1,112.1,113.0,EVER FORWARD,IMO9850551,VRTM7,74,0.0,334.0,48.0,13.0,74.0,A
6673252,229161000,2022-03-13 23:30:40,37.21102,-76.11674,0.1,61.2,207.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
6673515,212254000,2022-03-13 23:50:12,18.31056,-64.94219,0.2,26.3,78.0,ISLAND EXPRESS,IMO8716954,C4TA2,70,1.0,125.0,15.0,4.9,70.0,A
6675709,477624800,2022-03-13 23:53:07,39.18014,-76.44153,9.0,119.3,121.0,EVER FORWARD,IMO9850551,VRTM7,74,0.0,334.0,48.0,13.0,74.0,A
6676103,311000813,2022-03-13 23:52:32,45.549,-122.69381,0.0,64.5,329.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
6676298,477624800,2022-03-13 23:48:37,39.18437,-76.45483,8.8,111.3,111.0,EVER FORWARD,IMO9850551,VRTM7,74,0.0,334.0,48.0,13.0,74.0,A
6680416,477624800,2022-03-13 23:49:46,39.18333,-76.45145,8.9,111.3,111.0,EVER FORWARD,IMO9850551,VRTM7,74,0.0,334.0,48.0,13.0,74.0,A
6680450,311000813,2022-03-13 23:31:36,45.54898,-122.69378,0.0,64.5,329.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
6681555,212254000,2022-03-13 23:32:14,18.31077,-64.94223,0.3,171.2,99.0,ISLAND EXPRESS,IMO8716954,C4TA2,70,1.0,125.0,15.0,4.9,70.0,A
6681768,403531001,2022-03-13 23:50:34,29.72558,-95.2684,0.0,269.3,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
6684109,403531001,2022-03-13 23:53:34,29.72556,-95.26839,0.0,269.3,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
6691746,477624800,2022-03-13 23:55:37,39.17628,-76.43522,9.1,129.3,130.0,EVER FORWARD,IMO9850551,VRTM7,74,0.0,334.0,48.0,13.0,74.0,A
6693313,477624800,2022-03-13 23:56:47,39.17434,-76.43235,9.2,132.0,132.0,EVER FORWARD,IMO9850551,VRTM7,74,0.0,334.0,48.0,13.0,74.0,A
6695460,316026694,2022-03-13 23:55:59,48.40755,-89.2155,0.0,139.2,346.0,CSL ST-LAURENT,IMO9665281,CFK5152,70,5.0,225.0,23.0,9.0,70.0,A
6696686,477624800,2022-03-13 23:35:26,39.19476,-76.4894,7.3,110.5,111.0,EVER FORWARD,IMO9850551,VRTM7,74,0.0,334.0,48.0,13.0,74.0,A
6697384,403531001,2022-03-13 23:56:34,29.72556,-95.26839,0.0,269.3,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
6697591,477624800,2022-03-13 23:57:57,39.17215,-76.42976,9.1,142.5,144.0,EVER FORWARD,IMO9850551,VRTM7,74,0.0,334.0,48.0,13.0,74.0,A
6700538,229161000,2022-03-13 23:36:40,37.21106,-76.11677,0.1,290.3,210.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
6701608,212254000,2022-03-13 23:53:14,18.31078,-64.94217,0.2,343.9,86.0,ISLAND EXPRESS,IMO8716954,C4TA2,70,1.0,125.0,15.0,4.9,70.0,A
6705573,538004337,2022-03-13 23:56:42,36.8015,-76.28945,0.0,70.6,74.0,OWL,IMO9441386,V7WM4,70,5.0,189.0,32.0,12.9,70.0,A
6707543,311000813,2022-03-13 23:37:31,45.54898,-122.69375,0.0,64.5,329.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
6709360,311000813,2022-03-13 23:55:31,45.54896,-122.69381,0.0,64.5,329.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
6713636,538004337,2022-03-13 23:59:37,36.80154,-76.28942,0.0,70.6,74.0,OWL,IMO9441386,V7WM4,70,5.0,189.0,32.0,12.9,70.0,A
6716245,212254000,2022-03-13 23:41:13,18.31086,-64.94222,0.2,335.2,93.0,ISLAND EXPRESS,IMO8716954,C4TA2,70,1.0,125.0,15.0,4.9,70.0,A
6716675,311000813,2022-03-13 23:40:34,45.549,-122.6938,0.0,64.5,329.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
6718953,316026694,2022-03-13 23:58:58,48.40754,-89.2155,0.0,146.2,346.0,CSL ST-LAURENT,IMO9665281,CFK5152,70,5.0,225.0,23.0,9.0,70.0,A
6719786,403531001,2022-03-13 23:59:34,29.72555,-95.26841,0.0,269.3,276.0,BAHRI JEDDAH,IMO9626522,HZFG,70,5.0,224.0,32.0,9.5,79.0,A
6720407,212254000,2022-03-13 23:44:11,18.31088,-64.94218,0.1,146.8,107.0,ISLAND EXPRESS,IMO8716954,C4TA2,70,1.0,125.0,15.0,4.9,70.0,A
6721098,477624800,2022-03-13 23:59:07,39.16966,-76.42771,9.1,149.9,149.0,EVER FORWARD,IMO9850551,VRTM7,74,0.0,334.0,48.0,13.0,74.0,A
6722474,311000813,2022-03-13 23:43:31,45.549,-122.69383,0.0,64.5,329.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
6730567,477624800,2022-03-13 23:47:26,39.18545,-76.45829,8.7,111.2,111.0,EVER FORWARD,IMO9850551,VRTM7,74,0.0,334.0,48.0,13.0,74.0,A
6733313,477624800,2022-03-13 23:50:56,39.1823,-76.44808,9.0,111.1,111.0,EVER FORWARD,IMO9850551,VRTM7,74,0.0,334.0,48.0,13.0,74.0,A
6733695,477624800,2022-03-13 23:51:57,39.18135,-76.44501,9.0,111.1,112.0,EVER FORWARD,IMO9850551,VRTM7,74,0.0,334.0,48.0,13.0,74.0,A
6738245,477624800,2022-03-13 23:54:17,39.17844,-76.43849,8.9,129.1,129.0,EVER FORWARD,IMO9850551,VRTM7,74,0.0,334.0,48.0,13.0,74.0,A
6742768,229161000,2022-03-13 23:54:44,37.21111,-76.11696,0.0,10.5,202.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
6745407,212254000,2022-03-13 23:56:14,18.31087,-64.94222,0.0,114.6,104.0,ISLAND EXPRESS,IMO8716954,C4TA2,70,1.0,125.0,15.0,4.9,70.0,A
7048811,212254000,2022-03-13 20:00:29,18.33563,-64.94777,0.0,233.8,180.0,ISLAND EXPRESS,IMO8716954,C4TA2,70,5.0,125.0,15.0,5.3,70.0,A
7050848,477624800,2022-03-13 20:03:15,39.2521,-76.54425,0.0,148.2,308.0,EVER FORWARD,IMO9850551,VRTM7,74,5.0,334.0,48.0,13.1,74.0,A
7052154,229161000,2022-03-13 20:03:45,37.2103,-76.1168,0.1,86.5,206.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
7052850,311000813,2022-03-13 20:07:33,45.54903,-122.69381,0.0,64.5,328.0,AFRICAN GANNET,IMO9749233,C6DX9,70,5.0,180.0,30.0,10.1,70.0,A
7055558,229161000,2022-03-13 20:09:46,37.21031,-76.11682,0.0,123.2,207.0,IOLCOS HARMONY,IMO9429431,9HA3117,70,1.0,229.0,36.0,14.3,70.0,A
7060951,477624800,2022-03-13 20:21:15,39.2523,-76.54437,0.0,133.8,308.0,EVER FORWARD,IMO9850551,VRTM7,74,5.0,334.0,48.0,13.1,74.0,A
